Site,JanQ,FebQ,MarQ,AprQ,MayQ,JunQ,JulQ,AugQ,SeptQ,OctQ,NovQ,DecQ
sm81,147.5,153,105,110.5,42.55,26.7,16.1,10.5,10.3,13.65,22.45,86.75
sm82,13.065,13.3,13.7,37.7,47.45,17.85,18.2,21.3,22.15,7.925,4.865,9.87
sm83,11.1,12.9,26.6,37.25,44.35,27.65,10.05,6.99,6.13,9.565,10.55,7.155
sm84,32.65,62.5,61.4,56.3,35.8,28,21.55,15.75,14.7,11.3,11.255,15.9
sm85,36.25,37.3,32.25,29.3,26.2,21.1,15.05,13.2,7.275,5.995,9.71,19.6
sm86,31,33.1,33.55,29.1,24.1,31.5,28.2,21.5,10.5,6.93,12.05,20.45
sm87,22.9,26.7,30.65,65.2,86.7,86.95,40.05,22.85,17.25,20.15,20.25,21.6
sm88,40.5,46.4,43.8,39,32.8,39.95,27.5,23.15,14.65,9.7,18.1,27.8
sm89,37.8,41.1,41.9,41.65,86,73.65,60.5,78.35,80.85,74.85,63.75,40.25
sm91,281.5,226,176.5,397.5,463,177.5,60.8,33.65,28.1,90,198,210.5
sm93,47.5,46.8,46.35,55.65,141.5,169,79.65,64.2,62.5,62,56.45,50.05
sm94,140,196,170,163.5,150.5,124,87.7,79.65,66.65,58.2,73.35,82.8
sm95,79.05,75.5,109.5,207.5,95.2,41.8,22.15,25.1,16.95,17.55,61.65,71.8
sm96,147.5,130,208.5,145.5,53.7,23.2,8.12,4.205,3.855,16.6,37.8,91.6
sm97,66.4,78.8,88.75,77.3,77.45,57.45,36.3,35.3,25.5,31.5,37.3,61
sm98,71.6,79.8,75.6,165,79.45,33.3,14.9,7.765,6.7,16.3,21,35.95
sm99,153.5,248,224,197,177,142,103,78.7,72.35,67.9,79.25,97.1
sm100,147.5,126,56.8,126.5,65.6,64.75,37.5,33.3,29.5,37.3,106,97.5
sm102,51.4,73.5,71.35,68,61.4,42.7,26.85,35.45,21.3,16.65,25.4,45.45
sm103,117,109,97.15,130,91.65,47.95,22.55,21.55,11.3,18.9,65.85,57.55
sm104,53.7,38.3,33.5,37.3,26.5,15.2,3.31,3.445,2.38,5.965,6.155,16.45
sm105,80.85,85.6,74.65,65.5,51.95,61.7,41.8,39.8,26,20.3,33.2,51.65
sm106,471,315,351,563,297,127,62.1,44.2,41.75,203,280,363
sm107,102.5,121,108,131,115,45.5,20,13.8,6.57,13.8,31.8,60.9
sm108,156.5,188,175,170,136,91.1,82.1,72.9,59.3,46.65,83.65,144.5
sm109,84.4,114,88.35,77.2,49.25,45,37.95,32.55,22.6,21.35,30.4,47.75
sm110,35.9,45.8,30.1,27.9,29.1,13.75,6.83,2.875,2.495,1.64,7.845,4.56
sm111,43.6,38.5,62.65,92.95,80.05,14.5,7.355,7.03,5.48,6.29,10.9,16.3
sm113,91.95,75.8,54.65,53.55,37.35,33.85,50.85,34.15,23.55,26.2,32.95,59.35
sm114,117.5,91.7,58.85,62.5,29.2,24.8,17.8,16.3,17.35,23.65,46.4,74.1
sm115,4.85,4.85,11.1,36.45,83.45,23.4,14.05,17.85,10.75,8.37,8.845,6.07
sm116,38.5,43.5,75,259,262,184,38.75,9.97,6.66,10.4,20.7,29.9
sm117,62.55,87.9,87.9,86.5,79.75,59.15,44.65,48.05,32.9,29.3,37.75,56.8
sm118,102.5,91.1,118.5,176,84.7,27.4,16.15,7.965,6.375,13.3,63.1,83.7
sm119,734.5,385,265.5,513,605,329,139,66.55,63.5,206.5,478.5,408
sm120,18.6,22.4,46.3,73.45,81.15,40.15,16.25,10.7,9.685,15.2,16.6,15.1
sm121,37.8,48,41.7,51.85,52.75,37.5,27.8,35.25,22.65,16.45,22.45,31.8
md1,67.95,102,112.5,104,93.3,67.4,53.5,48.2,33.55,31.2,43.2,63.7
md2,40.55,37,31.9,62.15,130.5,42.35,17.6,12.45,9.895,6.38,6.68,10.1
md3,144.5,190,162.5,188.5,179,123,49.6,64.45,23.65,92.6,94.7,144.5
md5,81,95.5,110,94.75,104.5,79.1,49.95,43,49.35,72.25,72.05,63.5
md6,168.5,147,144,188,136,78.6,41.55,19.8,14.25,32.7,119,136
md7,69.4,97.7,117,98.7,94.6,54.25,23.15,16.85,11.9,16.4,24.4,35.6
md8,107.5,161,156,110.5,85.95,60.45,45,38,27.3,20.3,35,84.7
md9,26.8,25.5,35.1,49.95,40.5,33.85,32.25,28.35,27.3,36.6,28.8,26.75
md10,0.325,1.08,2.355,9.41,8.59,6.075,3.39,1.74,0.74,0.525,0.32,0.24
md11,96.4,89.8,81.15,63.45,139,341.5,445,216,113,87.4,84.7,83.25
md12,115.5,139,137,119.5,75.55,52.95,45.45,37.7,26.6,27.2,42.85,57.5
md13,219,191,219.5,369.5,222,118,67.05,90.1,59.65,66.6,173.5,175
md14,234.5,271,196.5,228.5,275,186.5,127,140,121,102.5,153.5,149
md15,7.985,20.1,34.45,56.6,34.55,11.75,2.625,0.425,0.53,2.295,3.535,4.7
md16,9.82,9.94,10.45,11.7,17.75,12.2,10.2,10.75,8.58,9.46,9.25,7.62
md17,92.6,110,81.15,62.1,32.2,31.2,19.1,12.55,11.95,7.73,9.855,41.2
md18,42.9,45,48.35,93.45,216,585,465.5,388,357.5,160.5,94.35,50.35
md19,135.5,153,178.5,157.5,146.5,127.5,113.5,112.15,109.85,141.5,151,146
md20,53.65,142,88,141,80.65,13.1,3.73,2.53,2.535,0.515,2.915,10.25
md22,223.5,141,43.15,162.5,171,139,202.5,194,195,127.5,46.6,93.7
md23,57.2,41.1,32.15,26.9,14.4,12.95,6.975,4.615,2.065,0.505,6.63,19.1
md24,47.7,60.4,55.45,53.7,59.55,43.05,34.6,60.5,29.2,21.85,27.05,39.1
md25,2.685,6.8,4.9,6.28,1.31,0.645,0.245,0.475,0.3,0.31,1.435,1.48
md26,16,20.6,21.9,45.45,279,1115,488.5,123.5,49.7,64.8,37.95,26.95
md27,145.5,140,170.5,169,157,142,111,113,193,217.5,151.5,142
md28,192,153,43.15,164,96.1,93.4,85.7,74.2,87.7,42.5,43.25,40.8
md29,97.7,86.5,55.05,82.75,124,107,59.85,43.2,34.85,43,88.7,85.65
md30,746,368,130.5,429,478.5,163.5,114.5,50.1,73.8,240,273,330.5
md31,68.85,86.8,81.45,68.65,55.05,84.2,58.25,52.85,26.9,22.4,32.55,47.75
md32,246.5,320,222.5,261,216.5,124,81.25,47.85,33,52.5,115.5,220.5
md33,194,312,159,211,134.5,92.55,45.1,22.05,16.45,58.25,99,141.5
md34,82.6,77,113.5,151.5,131,28.6,11.6,15.1,13.95,13.55,16.8,35.5
md35,647,78.1,57.35,399,393,201,53.85,272.5,388.5,205.5,458,427.5
md37,158,291,307.5,240,54.65,30.45,22.15,10.3,8.33,6.09,27.05,118.5
md38,1450,1520,696,877.5,428.5,390,393,341,413,467.5,1435,1175
md39,227,176,20.3,183,50.95,35.45,47.2,43.1,43.75,19.3,18.4,24
md41,1.9,3.44,13.4,59.3,37.55,17.45,18.5,19.2,10.1,3.64,3.32,1.845
md42,50,42.2,16.6,9.335,9.92,63.25,110.5,133,157.5,103.5,61.6,41.65
md43,863.5,600,640.5,951.5,396.5,117,44.05,24.5,24.45,127,378,562.5
md44,273.5,348,64.65,246.5,183.5,63.15,78.85,50.8,71.2,78.05,115,245
md45,200.5,164,238.5,353,203.5,77.6,39.9,29.55,24.65,29.5,113,140.5
md47,219.5,272,253.5,336,231,86,38.7,25,18.35,24.05,105.5,174.5
md48,603,460,328.5,512.5,1315,1170,927,589,507.5,543.5,690.5,499
md49,588.5,508,473.5,912.5,568.5,330,169,113.5,110,173,309.5,404.5
md50,411,151,256,280,83.1,80.9,52.25,59.8,106,256,107.5,149.5
md51,275,239,146.5,295.5,214,91.6,63.3,67.6,60,54.3,73.65,106
md52,26.7,30.8,58.65,104.5,123.5,53.45,21.8,13.25,13.55,23,24.05,22.6
md53,111.5,96.8,77.1,70.95,45.45,37.35,32.4,33.8,18.5,21.2,36.3,81.9
md54,128.5,141,175.5,278.5,262.5,206.5,179.5,150,145,161,149.5,127
md55,144.5,125,192,236.5,254.5,44.4,12.75,15.2,7.35,16.9,10.95,39.45
md56,311,364,271,324.5,330.5,310,218.5,229,210,139,203,218.5
md57,122.5,121,145,236,258.5,194.5,149,134,158,219,162,141
md58,76,73.9,78.9,93.4,143,257,206.5,88.85,81.3,90.15,81.35,76.3
md59,492.5,512,383,501,508.5,297.5,178.5,150,157.5,143.5,232.5,282.5
md60,303,225,346,292,74.45,30.9,9.3,3.8,4.03,13.35,29,101.5
md61,1120,862,476,842.5,752,330.5,241,123,169,362.5,455.5,573.5
