Site,DRAIN_SQKM,PPTAVG_SITE,RH_SITE,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,BFI_AVE,STOR_NID_2009,FORESTNLCD06,PLANTNLCD06,WETLANDSNLCD06,MAINS100_FOREST,IMPNLCD06,AWCAVE,PERMAVE,WTDEPAVE,ROCKDEPAVE,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_NORTHNESS,ASPECT_EASTNESS
sm67,71.4042,143.106,69,2.992311,0.093560523,14.59263,11.94179,16.48807,12.73999,11.85331,11.29969,12.44047,8.657937,11.41046,8.671512,12.03432,12.06371,5.435281,7.340859,11.39602,16.0833,20.40582,24.30984,25.93324,25.68409,22.63055,16.53904,10.77617,6.624952,39.88942,6.475459427,56.193758,5.7135299,0.45627565,61.131704,5.309209,0.1277678,1.721001,5.011131,53.04665,253.2508,9.436038,0.307854829,-0.951433342
sm68,71.5932,133.837,68,2.653027,0.072863491,13.97064,12.38223,14.59098,10.40026,10.76348,10.11159,12.5023,10.30103,10.04115,8.529795,10.30329,10.50934,5.385583,7.100953,11.23859,15.78199,20.19702,24.07146,25.73226,25.26956,22.18414,16.35311,10.97513,6.544976,47.49737,0.895559914,20.0658689,0.2275356,0.4249007,38.248761,24.92133,0.1367391,1.610359,3.933396,34.48803,301.3976,3.726117,-0.248858933,-0.968539742
sm69,73.03033,81.388,67,17.41197,0.339603023,2.528385,1.936954,4.822979,6.597225,9.352026,11.12497,11.21819,10.98278,8.110546,6.01397,5.301088,2.485786,-10.8136,-7.75403,-0.943562,7.747968,14.80293,20.01318,22.56207,21.26562,16.03865,9.50816,0.27675,-7.44448,52.57797,0,5.298511589,1.5381586,4.1880297,8.794351,34.23146,0.1413756,7.029666,4.052573,60,273.579,1.227273,0.04815246,0.998839998
sm70,74.0736,127.5,68,8.386249,0.064575945,10.30191,9.620676,12.89755,11.22954,12.78882,12.12458,11.64981,11.3814,11.16627,9.709408,10.20403,8.8065,1.756113,3.084674,7.06284,12.04682,16.43415,20.28599,22.22553,21.59094,18.2914,12.69813,7.373242,2.994722,58.63882,0.86557154,90.68939,3.53688729,0.02430016,79.221131,0.5155035,0.1231343,3.466073,5.892135,48.18628,661.8497,23.61045,-0.694891854,0.719114255
sm71,74.1688,95.568,64,50.75368,0.235530847,15.39367,12.40724,11.5353,10.03832,10.84458,8.527052,5.205139,5.181359,6.42933,8.693916,17.0236,17.29952,-4.46377,-2.25034,0.1203921,4.163268,8.577239,12.26529,16.54786,16.24334,11.76134,5.833758,-0.399795,-3.80044,65.18369,0,72.85038134,0,0.09828904,48.8179611,0.1578207,0.0984936,1.752771,6,55.4703,1247.709,41.58732,0.369584587,-0.92919709
sm72,75.3372,32.008,52,35.05178,0.115794982,6.453824,5.477567,7.571883,6.811192,4.651664,2.413351,4.126291,5.470714,4.703928,6.899605,6.460204,5.526292,-3.99497,-2.2023,1.023557,4.856347,9.832056,15.11364,18.40009,17.32038,13.13101,7.328038,0.7452949,-2.8291,55.89328,0.687389497,72.211742,0.7263344,0.4623214,63.5981259,0.1838653,0.1032979,4.423676,6,42.37992,2540.472,25.14094,-0.067667029,-0.99770796
sm73,76.7628,173.102,73,41.41929,0.305580049,40.09212,27.13342,29.45867,23.4219,18.70935,15.34702,8.730525,8.553065,16.06225,24.49903,42.91508,40.4892,0.008736561,1.61654,3.238462,6.24093,9.107141,11.9353,14.93651,14.91297,12.68726,8.163165,3.362641,0.4871494,54.48944,17.66871453,72.569524,0,1.7000426,57.474674,0.8632932,0.1278899,5.115921,4.571171,55.55728,757.8184,35.77335,0.130668083,-0.991426171
sm74,77.44231,85.891,72,24,0.093230227,5.682591,4.879549,6.39286,7.164113,7.117811,8.689689,7.432586,8.632645,9.049382,6.962998,7.274849,6.810603,-4.04658,-3.65195,0.868583,7.478043,13.78154,19.14832,21.80869,20.85736,16.81743,10.80265,4.731341,-1.47021,52.9,43.05181496,10.9649374,18.72116,4.5219476,15.9409938,16.2522,0.124,3.014291,3.09156,43.8359,160.7193,1.8194,0.83501788,0.55022281
sm75,78.68936,125.583,67,28.82616,0.014110362,11.39576,8.505299,11.3189,11.31311,10.51651,10.55058,9.874258,10.66407,10.56666,11.1423,11.69953,10.879,-5.18597,-4.22462,0.7160702,7.091867,13.11503,18.11937,20.90473,19.95065,15.51495,9.561588,3.898203,-2.56939,51.8792,27.64048405,71.971258,7.8345015,9.8157196,39.36298,1.559499,0.1397993,3.770082,2.975649,53.49775,234.9528,6.461167,-0.421510683,0.906823436
sm76,78.72031,113.643,69,24.02124,0.103075345,7.090602,6.386281,8.419306,9.154692,9.808121,12.12781,11.14618,10.84136,11.36904,8.962479,9.790444,9.143952,-4.96829,-4.16928,0.7135732,7.07515,12.94879,17.83622,20.134,19.26022,15.6062,9.642349,3.57006,-2.48867,38.73694,15.66304807,63.705171,29.9553,0.00685973,83.465789,0.4031463,0.1296614,1.663982,1.672447,60,442.8215,3.725782,-0.294388954,-0.955685693
sm77,79.46941,132.3,68,2.949674,0.070230856,14.03078,12.21677,14.6532,10.4579,10.874,10.04133,11.40532,10.68384,10.28735,9.341048,10.23729,10.79586,5.199957,6.886963,10.96361,15.59172,19.9429,23.78942,25.51861,25.04277,21.9224,16.10947,10.79408,6.408193,53.88121,14.4138103,30.4172976,7.07208,0.6658739,54.282221,18.07823,0.1349316,1.736101,5.783473,58.3726,308.4774,4.426467,-0.805824944,0.592153831
sm78,79.53696,136.46,67,3.99192,0.079576084,14.31842,12.53934,14.97986,10.92395,11.26604,10.11973,12.35081,10.54276,9.916521,8.795604,10.5345,10.89608,4.873548,6.614727,10.79339,15.44873,19.77653,23.68511,25.41764,24.99962,21.8741,15.97019,10.5958,6.141316,49.651,15.06816454,21.3652098,0.6698197,0.5068905,33.113236,20.25653,0.137,1.593,3.94,34.55,317.9354,4.086049,-0.742559447,0.669780164
sm79,80.7422,107.031,69,9.90449,0.400094458,15.79504,13.2887,10.92671,7.613889,6.370646,4.296603,1.881143,2.341773,4.223976,8.163384,16.09477,16.94439,4.148905,5.96425,7.953179,10.34324,13.38746,16.35083,19.0807,19.16951,16.82938,12.03492,7.37141,4.535813,45.50491,0,8.2594981,0.7099312,0.83475432,2.953731,39.51905,0.1790648,1.012594,2.374629,58.52674,100.8823,5.872259,-0.41516964,-0.909744013
sm80,85.9473,143.11,69,2,0.082815385,14.2615,11.61783,15.78153,12.198,11.92126,10.43288,12.96431,9.284999,10.88887,8.491412,12.0471,12.13099,5.896934,7.92043,11.9443,16.53392,20.83422,24.69316,26.46078,26.04574,23.01852,16.92411,11.33715,7.202587,37.42915,2.15190006,6.2787313,1.0848508,0.1308942,7.1224171,36.53218,0.1448905,1.123082,3.68549,40.15546,205.1397,4.073077,0.049602838,-0.998769022
sm81,87.53999,138.904,74,21.36777,0.483491947,26.98799,24.44031,19.62182,11.87768,6.569701,4.705055,1.973974,2.697672,5.653057,12.41524,27.61859,30.08434,2.040751,3.710125,5.430382,7.634642,10.98539,13.87269,16.96056,17.08351,14.86568,9.767245,5.147728,2.525846,49.5026,1.366244159,58.61655,0.57361378,0.42558445,52.482443,0.24945,0.1667804,0.8798857,5.463457,49.04836,403.6106,16.21783,-0.997696135,-0.067841161
sm82,89.0307,106.585,65,10,0.237078707,3.478458,3.731693,7.333381,9.734376,13.48051,13.3706,10.60094,10.05869,12.75787,9.18745,7.531665,4.925383,-2.19234,0.4263218,6.040771,12.61745,18.05209,22.98615,25.78487,24.89701,20.2808,14.19388,6.47,0.2708952,21.22848,1000.89231,18.76914754,23.824586,0.40435495,7.33660135,13.89323,0.1778475,0.7815755,3.281754,54.67326,283.033,3.437219,0.985241839,0.171168104
sm83,89.5617,57.436,55,52.62841,0.208684568,8.343187,7.777169,8.862972,6.541533,6.030916,3.058503,3.405056,3.632974,4.524418,6.329684,7.46772,6.519876,-5.64376,-4.30366,-1.21302,3.245921,8.229375,12.98967,17.40086,16.69299,11.72065,5.920654,-0.933652,-4.67423,68.47079,1.211500005,56.911157,3.538231,0.3235758,50.735688,2.296213,0.1160703,2.124033,5.329293,56.58971,2287.911,19.04909,0.417708503,0.908581095
sm84,89.6346,135.215,67,2,0.103378381,14.21502,12.90411,15.60226,11.1441,11.00596,10.20637,12.0562,9.71591,8.967872,8.24637,11.08131,11.24002,5.588562,7.338542,11.36936,16.12616,20.34721,23.98332,25.6348,25.2001,22.23079,16.50706,11.09784,6.713021,50.52428,15.99805209,64.9697828,13.37631,0.5612788,52.3378396,1.410577,0.1339192,1.804183,5.73623,58.01659,332.1219,5.043376,-0.703146544,0.711044962
sm85,90.05563,135.062,68,2,0.072542263,13.78336,12.31879,14.3793,10.12318,10.61634,10.00481,13.09005,9.896025,9.81597,8.126411,10.3714,10.15569,5.866229,7.569092,11.59926,16.14168,20.57053,24.39832,25.99734,25.53273,22.48229,16.64469,11.22466,6.899416,46.03387,14.96485006,33.7264387,0.1838933,0.4007676,53.889786,18.05711,0.1335628,1.700459,4.303123,39.40468,278.7027,4.545353,0.0779371,-0.996958278
sm86,91.2645,134.607,67,3.01141,0.070617745,14.17133,12.47175,14.80954,10.63529,10.92562,10.2326,12.2439,10.64784,10.51121,8.840859,10.27263,10.75751,5.195007,6.905608,11.06633,15.60505,19.98744,23.89327,25.59666,25.13692,22.04367,16.19016,10.8556,6.438827,48.01684,7.079335338,16.0297816,0.1232681,0.8707657,17.7419342,30.7154,0.1369599,1.595698,3.939064,34.54151,294.3372,4.048037,-0.782933997,-0.622104779
sm87,95.1021,63.279,56,66.62346,0.471120881,14.67705,14.66727,13.30942,5.809882,4.449081,2.374544,1.403843,1.829538,2.595979,5.518228,10.65959,12.11248,-2.72866,-2.22105,-0.807632,1.720128,5.827899,10.54158,14.52516,14.13851,11.0547,6.252932,0.9831149,-1.9644,71.15945,0,67.34331176,0,0.194002,83.45113,0.8669809,0.06170295,10.34586,5.677956,36.61069,2409.371,26.10946,0.816647599,-0.577136638
sm88,96.4998,133.505,67,2.98324,0.073845396,14.1005,12.42002,14.79417,10.61698,11.04411,10.17364,12.33155,10.49964,10.22373,8.709921,10.23567,10.68698,5.161334,6.881157,11.04527,15.5921,19.96336,23.87279,25.58459,25.12488,22.02968,16.16411,10.83475,6.423864,47.36948,29.29818507,24.2683369,0.2639384,0.3254929,40.4577,23.99811,0.1367355,1.596885,3.894953,33.98629,291.3195,4.380568,-0.920231847,-0.391373667
sm89,100.0449,100.634,64,1,0.058342741,5.160987,6.745734,8.461538,8.726556,14.40934,10.31581,6.071575,5.475616,8.808925,12.27092,8.257483,7.787539,6.101883,8.61913,12.81026,17.90374,22.21278,26.61687,29.1325,28.98042,24.92476,19.1143,12.49215,7.695628,13.6251,1.158499834,3.7864003,56.07722,0.1673249,25.5719563,3.303128,0.1628933,0.6242742,5.456563,55.54784,195.5336,0.9674935,-0.211495384,-0.977378996
sm91,102.7983,254.084,73,53.39223,0.384410663,41.87662,28.86853,26.75109,18.68504,15.05607,11.65597,6.592129,5.500652,11.72792,20.684,41.98738,40.76936,-1.60619,0.01061738,1.798156,4.787419,7.771805,10.81586,14.10713,14.14047,11.98469,6.878251,1.764543,-1.26549,57.01439,0,75.4605112,0,0.57958328,76.771451,0.704789,0.1321897,4.100573,4.674938,54.88459,1010.255,38.2899,0.302684301,-0.953090874
sm93,103.1144,70.76,60,69.55512,0.209106556,11.28166,9.562068,11.25226,8.051348,8.551087,7.033369,4.8465,4.248735,4.930696,5.959163,9.825424,11.00883,-10.5037,-8.41045,-5.56612,-0.945701,4.243347,8.468108,12.95543,12.02377,6.845724,1.622614,-5.65251,-9.71924,83.64863,0,81.8619844,0,2.3794141,59.421697,0.01796344,0.08516999,5.002398,5.675076,46.30277,2486.671,7.979268,-0.621462325,-0.783444049
sm94,104.1741,161.456,68,8.161358,0.055564958,17.54646,15.31484,18.14978,14.44785,16.20458,14.19197,14.12804,14.68313,13.90906,12.53181,14.84572,14.88592,2.613481,3.805303,7.388218,11.9702,16.16843,19.80981,21.58021,21.16022,18.24068,12.741,7.62364,3.597503,62.21909,0,92.92435,2.10801,0.05961175,53.84394,0.2168831,0.1324371,3.553493,5.862533,45.00668,868.1594,26.71205,0.850444054,-0.526065501
sm95,106.9924,127.231,66,34.2778,0.018250015,10.52768,8.686386,10.99121,11.06605,11.74942,11.5325,10.68873,11.61002,10.30002,11.10257,12.02114,10.63669,-7.28965,-6.61947,-1.43788,5.156641,11.62945,16.42535,18.91017,17.85346,13.67242,7.973733,2.093567,-4.65216,45.69511,1.498143793,91.00943,4.1533115,1.34938474,78.08574,0.2424686,0.1371145,2.901625,4.828053,45.1508,410.86,13.63876,-0.461202037,0.887295149
sm96,113.3136,122.999,73,7.559391,0.383572292,22.70963,18.69848,18.19083,14.93181,10.29423,6.823904,2.470379,3.085089,5.978254,11.52606,26.16856,23.52966,3.486634,4.924869,5.94438,8.392116,11.51841,15.07154,18.28236,18.60653,16.46462,11.33498,5.995212,4.073267,58.10111,0,86.262545,0,0,85.501001,0.09195101,0.1445865,1.411513,5.911803,46.52042,765.4913,26.53139,0.010258865,-0.999947376
sm97,114.1338,121.157,68,16.0184,0.027472619,10.40236,7.828218,10.70919,9.866854,10.46498,9.503722,11.36099,11.64613,10.38397,9.010627,10.2013,9.92932,-0.675765,0.2032222,4.772225,10.33416,15.9663,20.87938,23.67908,22.835,18.92429,12.86264,7.361251,1.682469,50.25936,199.5334423,31.707698,13.61335,10.69383935,35.463468,10.21599,0.1084008,8.099468,4.166838,59.35349,34.27927,1.038633,-0.866951555,0.498392416
sm98,115.1919,125.362,67,28.92133,0.015204975,10.86905,8.181785,10.733,10.68027,10.49302,10.32638,10.40367,10.85713,10.50969,11.03624,11.27939,10.27646,-5.25656,-4.318,0.5714306,6.934512,12.90803,17.85234,20.64229,19.69392,15.27632,9.361498,3.796207,-2.6448,51.96193,268.0250955,60.921467,7.1778482,11.896927,40.603069,4.203202,0.1375388,3.790904,2.863455,54.5274,274.4814,5.279629,0.17828703,0.983978524
sm99,116.6112,179.771,68,6.310431,0.06231607,19.10726,16.36803,20.02706,14.13355,16.7624,14.01163,15.3061,14.78396,14.56285,13.78564,15.4412,15.91138,3.010945,4.286591,7.853163,12.57752,16.72922,20.38342,22.16135,21.73666,18.79213,13.23784,8.182803,4.076703,63.76669,24.59418992,94.728634,0.5209619,0.03318721,81.545217,0.2543992,0.1326664,3.386308,5.857867,47.41917,757.0715,24.82428,-0.926556864,0.376154727
sm100,118.3293,113.807,69,24.01371,0.10155741,7.120101,6.426193,8.406726,9.043108,9.678251,12.03015,11.16137,10.87369,11.30544,8.992888,9.820144,9.223459,-4.85579,-4.07816,0.8263411,7.163297,13.05301,17.95398,20.2483,19.37016,15.71567,9.743798,3.669129,-2.38402,38.54647,339.0691908,61.470827,29.74056,0.012169429,73.794492,0.7079641,0.12907,1.802135,1.641208,60,431.231,3.67033,-0.127391795,-0.991852474
sm102,119.376,123.192,66,18.78219,0.053063442,9.74747,7.35329,10.04332,9.855556,11.52225,10.76537,11.65913,9.572021,11.33145,9.208903,9.568076,9.232336,-1.92937,-0.78676,3.975659,9.789913,15.42199,20.28828,22.98028,22.26017,18.18899,12.13576,6.192617,0.6843739,52.86398,46.99562726,33.35343409,42.39898,1.80714757,48.05075182,2.684386,0.1285514,1.387669,4.51186,58.93131,201.2528,4.809815,-0.419442576,0.907781871
sm103,119.9975,103.317,66,26.18188,0.102291319,6.630045,6.370049,8.444698,8.4432,9.298388,12.46828,10.16503,9.293225,9.728566,8.113689,9.306341,7.213605,-5.24879,-4.33141,0.3846349,6.914274,12.81686,17.41762,19.67613,18.87123,14.97251,9.144046,3.140915,-2.96743,42.45589,0,96.972543,0.59484079,0.042006404,96.91769,0.01863284,0.09744055,7.012067,4.755339,45.96834,554.6959,18.3053,-0.951170791,-0.308665073
sm104,121.6944,117.62,67,5.041519,0.040089459,10.59775,8.762318,11.17752,8.724764,10.69495,10.17045,11.17989,10.04066,10.9857,9.293952,8.196438,8.205479,3.507584,5.087578,9.394637,14.65764,19.2901,23.55742,25.4687,24.71649,21.26062,15.16422,9.761174,5.0141,33.66996,1.438735061,58.17063,24.503754,1.05091149,73.362848,0.6101349,0.1424172,1.689841,5.410205,48.55695,191.5382,3.963417,0.980077173,-0.198617058
sm105,122.0977,137.711,68,3.908051,0.076997524,14.62903,12.56621,15.21777,10.79433,11.2504,10.14413,11.32706,10.83916,10.59299,9.536151,10.70364,11.35501,4.935556,6.560347,10.6463,15.29696,19.63596,23.53333,25.26251,24.79353,21.67525,15.81962,10.46653,6.116635,55.49542,3.807123312,32.4936763,5.206007,2.32877,44.083162,17.79228,0.1346504,1.755009,5.770353,58.27374,333.2414,4.439174,-0.726099617,-0.687589519
sm106,124.4574,249.21,69,38.68208,0.395127025,42.9685,34.18194,30.23214,23.50927,17.20677,12.15325,4.97461,5.879133,12.29083,21.84326,45.159,47.34841,-0.263067,1.076579,2.934972,5.296065,8.486312,11.82936,15.5554,15.55314,13.22998,8.172613,2.962893,0.4195832,52.05804,143.6515627,86.86418377,0,0,80.0204113,0.01832434,0.1466094,2.971305,5.95774,46.38536,907.2359,27.9569,0.074574944,-0.997215412
sm107,124.6505,104.304,73,23.09632,0.06843276,8.647112,7.501415,9.238054,9.973093,11.45351,10.14959,11.17636,10.112,8.659576,8.023482,9.237572,8.576495,-3.7605,-2.41315,2.111548,8.094955,13.47642,17.77114,20.00275,19.33531,15.63974,9.575306,4.096314,-1.5067,40.79954,1.681581702,82.996878,11.8747507,0.0873621,90.072244,0.2517978,0.1077539,5.783905,4.963887,40.10976,754.9298,16.73048,-0.658929744,-0.752204488
sm108,127.019,130.992,72,15.17427,0.075104012,14.20031,14.45456,16.95261,12.56881,13.75722,12.36524,13.12468,13.20992,11.45645,9.14389,12.00349,13.52371,-0.324199,0.983005,4.717617,9.150485,13.14181,16.80054,18.6838,18.06055,15.4229,10.02778,5.133995,1.086298,62.04965,0,98.951386,0.2203501,0.00495965,93.523366,0.01050029,0.121774,3.670558,5.934751,50.66086,1211.432,30.83824,0.478884925,0.877877684
sm109,133.1694,143.781,70,2.019444,0.089312463,14.48658,11.72655,16.09069,12.37029,12.03998,10.63512,12.86354,9.006394,10.88668,8.541452,12.00335,12.08067,5.731498,7.696176,11.71396,16.35208,20.65867,24.54621,26.30134,25.91519,22.87456,16.78088,11.11511,6.983035,39.156,3.092467188,34.796512,1.22595695,0.1817985,52.958906,14.54923,0.134721,1.487552,5.066947,43.35023,211.3129,6.044957,-0.456632167,-0.889655587
sm110,134.7102,90.71,71,19,0.139312305,5.440811,4.872936,6.692673,8.477705,9.609833,10.1645,10.01198,9.105539,7.197266,5.895663,7.370222,6.759784,-3.41103,-2.165,3.196165,9.449166,15.47226,20.66688,22.83501,21.76975,18.06898,11.67675,4.981427,-1.18188,19.87541,0,8.8316257,79.970999,0.13762878,32.3986728,1.147757,0.1491793,0.5793859,1.418169,60,272.1664,0.2587231,0.989900321,-0.141765137
sm111,135.3564,117.707,67,9.625163,0.054186484,6.023287,6.625467,10.63931,11.65491,11.58885,10.50725,9.94068,9.845417,9.25394,8.674891,12.66417,9.43557,-0.12629,2.202168,7.483372,13.33219,17.9233,22.2698,24.7915,24.07435,20.01605,14.06754,7.41694,1.751634,27.09265,16.33294768,94.221921,2.341153,0.1821857,76.209517,0.09683103,0.100026,1.911914,4.587618,52.23826,368.8515,11.4176,-0.815228887,-0.579138897
sm113,137.2806,163.665,70,0,0.082342096,16.69889,13.81333,17.26495,13.92218,14.10922,11.45712,16.0054,11.82465,12.04407,8.522894,13.11243,13.38543,9.229321,10.96312,14.68694,18.80771,22.76659,26.16906,27.4084,27.20775,24.80696,19.19871,13.86368,10.22606,34.89134,0,65.02485351,0.14488576,20.3961083,46.61287,0.1918064,0.1171641,3.364339,5.220229,60,67.76971,2.359682,-0.906619548,0.421949043
sm114,137.3274,109.625,69,10.0391,0.369810889,18.6688,15.81212,13.67837,10.47215,8.428556,5.969423,2.541885,3.16017,5.88639,10.2675,19.60605,20.60555,3.874698,5.782776,7.869587,10.41312,13.49786,16.31017,19.02183,19.06961,16.71544,12.11487,7.372913,4.458391,46.65999,0.430970076,15.307788,14.909332,0.8703118,17.045778,30.30975,0.1637662,1.932984,3.625895,50.79424,119.8521,5.538866,0.70562427,-0.70858619
sm115,139.0311,62.018,47,31.57159,0.109511233,5.880139,5.947292,9.045813,6.217984,6.320293,6.078195,11.75777,12.56788,6.139596,6.5001,7.702481,5.408054,-5.53958,-4.50603,-1.59772,1.736921,6.379567,11.18947,13.34761,12.48324,9.386592,4.332806,-1.32594,-4.93242,65.36759,0,84.067091,0,0.2427514,85.695465,0.000135941,0.09815861,2.962043,5.99789,55.03458,3141.534,24.82402,0.022858331,-0.999738714
sm116,139.6478,64.637,56,67.11948,0.474826382,19.92919,18.82098,17.22277,7.670892,5.155512,2.918095,1.703979,2.495025,3.731223,7.648486,14.30065,16.01932,-2.41398,-1.89455,-0.363217,2.170229,6.16491,10.86077,14.84002,14.46732,11.37462,6.619418,1.347221,-1.62102,67.60289,35.31741997,50.47355882,0,1.495413,47.98732,2.353384,0.06581418,8.803977,5.555399,40.04879,2319.889,22.31017,0.932685742,0.360690044
sm117,143.4861,122.673,66,18.65076,0.051758848,9.836397,7.437116,10.12031,9.907596,11.5701,10.83384,11.63797,9.589236,11.38694,9.227283,9.580264,9.293818,-1.87268,-0.736645,4.033213,9.856012,15.48231,20.34965,23.03819,22.31267,18.23272,12.16584,6.228383,0.7107597,53.07157,39.09890923,33.35842078,37.70707,1.61012096,42.80318436,5.324577,0.130807,1.407405,4.604777,59.38281,191.851,5.318144,-0.411414142,0.911448519
sm118,144.3951,113.764,70,30.69651,0.020007143,9.161464,7.375853,9.277854,9.895898,9.600843,9.54389,9.442929,9.456743,9.321575,10.31241,10.63814,9.545445,-5.69131,-4.43114,0.5923611,6.751216,12.87563,17.95375,20.71834,19.73927,15.28423,9.329283,3.512759,-3.03207,47.09602,4.585481086,77.05546,4.0912746,6.144391,55.770861,1.138875,0.1090427,6.402486,4.444176,51.38544,146.0246,5.625684,-0.608899886,0.793247079
sm119,146.9715,258.917,83,36.27812,0.43722246,44.64129,39.635,34.82767,20.81523,12.559,9.436859,5.134813,6.100742,12.56908,29.93125,49.53473,51.93968,0.07809583,1.455473,2.388042,4.503542,7.607749,10.55102,13.82192,14.18357,12.47367,7.439849,3.155867,1.01126,52.9827,0,82.06312815,0,0.06674586,89.8076364,0.05721774,0.1229682,1.951444,5.869222,36.25087,990.589,53.0554,-0.932142543,-0.362091535
sm120,147.7674,61.618,51,51.8484,0.203707858,8.200355,7.513755,8.555521,6.606667,6.154266,3.0844,3.333149,3.506156,4.533401,6.367652,7.56799,6.4468,-5.53481,-4.14728,-0.942442,3.579379,8.529389,13.2209,17.63202,16.93431,11.94652,6.158185,-0.747173,-4.55559,68.99669,3.179138294,57.4318141,3.423556,0.2862607,38.2310695,3.134823,0.1190984,1.834683,5.513621,55.38968,2229.863,19.96388,0.39394191,0.919135339
sm121,149.8617,108.959,69,11.36714,0.05947834,8.446695,7.146839,9.725503,8.438423,11.14464,9.544743,10.21559,9.773085,10.85909,8.748403,8.704354,8.101299,0.6087738,1.88815,6.49357,12.13988,17.35317,22.01198,24.41392,23.52541,19.85921,13.53972,7.816189,2.408613,30.98187,38.38168792,41.466437,2.68988,3.75225984,43.0031005,11.51403,0.1445908,2.078113,5.152858,58.87692,106.4841,3.66996,0.62172086,0.783238898
md1,152.29,117.114,66,18.61128,0.049320008,9.851437,7.246711,9.756317,9.719696,11.12159,10.39336,11.39407,9.759122,11.29204,8.995433,9.570833,9.134804,-1.77728,-0.626639,4.186441,10.02375,15.66143,20.51331,23.19872,22.44176,18.36562,12.19911,6.377179,0.7350399,51.56975,11.48878456,49.7251892,29.33643,1.933737934,50.5645441,0.892356,0.1275455,1.947574,4.793846,55.96126,160.4229,7.326525,-0.422293965,0.906458939
md2,153.8208,118.439,65,5.107394,0.080997629,5.57678,6.081012,10.6606,10.92502,13.40604,12.6221,8.02279,8.395158,12.97998,9.944958,11.76122,8.396539,2.273707,4.726086,9.386592,15.04808,19.28506,23.75048,26.41028,26.02551,21.91433,15.90496,9.175643,4.056803,44.68763,0,30.2886815,63.490566,0.06026493,39.30373582,0.3957183,0.1135632,1.511293,5.067831,58.61923,322.5397,3.012355,-0.46112925,-0.887332978
md3,154.6461,145.662,79,27.16893,0.04561798,13.19494,11.15626,13.35457,11.83462,13.52063,13.75702,15.70627,12.72627,11.88669,9.881396,11.64068,12.51103,-4.89289,-3.58501,0.3840936,5.835658,11.28781,15.47031,17.49749,16.88306,13.57056,7.686,2.052641,-2.77993,37.07068,0,96.33065,0,0,90.96904,0.206915,0.106993,1.782419,4.599061,42.04926,1268.379,17.38071,0.641071968,-0.767480769
md5,159.9129,114.189,69,9.952195,0.035214004,9.726466,8.014505,10.74335,8.721558,10.07339,8.501607,9.681326,13.26685,9.737153,8.804111,8.376632,8.856089,2.081395,2.992462,6.990212,12.17371,17.45611,22.3331,24.77453,23.93548,20.45906,14.5334,9.102906,3.813593,65.09983,17.66463494,21.381579,43.465534,17.78187008,25.681028,2.262251,0.09284062,9.07261,3.702487,60,11.63501,0.1079222,-0.156606847,0.987661023
md6,161.1102,115.5,68,29.06671,0.082905329,8.44286,6.76445,9.327668,9.516627,10.44347,13.39023,10.94834,10.97919,10.88682,8.622289,9.901811,9.69561,-5.93007,-5.11443,-0.0985002,6.399592,12.13238,16.66497,18.81975,18.03387,14.2629,8.522706,2.677574,-3.50478,42.8935,0,77.55974,8.558724,1.03562726,62.63736,0.3213125,0.1052967,3.846369,3.762401,52.67649,595.8367,10.7562,-0.980442603,-0.19680524
md7,164.3193,121.286,68,16.09899,0.026658941,10.40185,7.875994,10.71272,9.906493,10.47115,9.424032,11.35843,11.70828,10.30745,9.009396,10.17806,9.938583,-0.583079,0.2779944,4.791142,10.31099,15.93683,20.89519,23.71246,22.8954,19.00938,12.95203,7.445754,1.757199,50.43671,139.0582604,37.015609,11.441748,14.17100827,32.2317504,8.418563,0.1010863,9.197257,3.98418,59.38953,31.54113,1.132327,-0.943973879,0.330020174
md8,165.6684,141.583,69,5.489178,0.093807677,16.68979,14.74246,17.84349,12.52956,12.55077,12.86328,13.25915,10.45385,12.14601,9.995604,13.70835,14.21039,3.415111,5.191425,9.249863,14.44309,18.85847,22.71551,24.59166,24.22107,21.11274,15.23255,9.273698,4.804102,54.13829,4.175286295,80.025094,8.3068954,0.316716969,59.484334,1.44744,0.1399078,1.448548,5.66006,34.41415,445.1328,15.54759,-0.495448056,-0.868637568
md9,165.8565,83.11,70,18.01981,0.332307388,2.743209,1.955287,4.762359,7.044515,8.916645,11.65735,10.72021,11.24772,9.659281,6.221967,5.505372,2.638633,-11.4677,-8.51106,-1.83385,6.759845,13.63647,18.60902,21.27512,20.07078,14.97867,8.690574,-0.228442,-7.98889,55.67877,423.0024147,20.6012447,69.66493,1.3549665,28.2655488,1.092335,0.1602738,2.30313,4.554533,57.43383,358.7891,2.898963,-0.99999998,0.000198968
